ID,YearBuilt,SqFt,Story,Acres,N_Baths,Fireplace,TotalPrice,LandPrice,BuildingPrice,Zipcode
1,1990,2102,1,0.77,NA,TRUE,203200,44000,159200,27603
2,1986,1740,1.5,0.06,3,TRUE,119096,22000,97096,27604
3,1955,795,1,0.3,1,FALSE,71666,28000,43666,27610
4,1983,1152,1,0.68,2,FALSE,131103,50000,81103,27616
5,2003,1404,1,39.38,2,FALSE,4904102,4797750,106352,27519
6,1967,1752,1,0.29,1.5,TRUE,144452,52000,92452,27604
7,1924,1829,1.5,0.25,3,TRUE,496425,292500,203925,27607
8,1980,1246,1,0.29,2,TRUE,169187,76000,93187,27511
9,1989,2264,2,0.25,2.5,TRUE,243092,74000,169092,27609
10,1994,3483,2.5,0.36,3,TRUE,432516,98000,334516,27519
11,1970,1646,1.5,0.29,2,FALSE,192794,85000,107794,27606
12,1990,1188,1,0.45,1,FALSE,58116,26000,32116,27610
13,1930,1657,1.5,0.16,1,TRUE,394694,213180,181514,27604
14,NA,1383,NA,0.46,NA,TRUE,135298,40000,NA,27545
15,1985,1212,1.5,0.85,2,TRUE,124355,34000,90355,27545
16,1975,2174,1,0.41,2.5,TRUE,230827,80000,150827,27511
17,1992,1590,1.5,0.17,2.5,TRUE,213300,68000,145300,27511
18,1981,1901,2,0.26,2.5,TRUE,226295,90000,136295,27615
19,1959,1911,1,0.28,3,TRUE,318360,172250,146110,27607
20,1984,3103,2,0.95,2.5,TRUE,410025,180000,230025,27615
21,1959,2514,1.75,0.85,1,TRUE,263585,111078,152507,27617
22,1992,4071,1.75,0.32,3,TRUE,483528,110000,373528,27518
23,1986,1852,2,0.27,2.5,FALSE,218228,74000,144228,27609
24,1988,1178,1,0.16,2,TRUE,119323,32000,87323,27616
25,1987,2678,1.75,0.17,3,TRUE,391614,140400,251214,27613
26,1961,1620,1,0.61,2,TRUE,128105,40000,89105,27529
27,1986,1024,2,0.03,1.5,FALSE,74734,18000,56734,27616
28,1992,2978,2,0.73,2,TRUE,326287,80000,246287,27526
29,1992,2851,2,0.22,3,TRUE,328222,86000,242222,27513
30,1992,1638,1.75,0.25,2.5,TRUE,180856,56000,124856,27513
31,1944,1494,1.5,0.16,2,TRUE,300993,154100,146893,27607
32,1960,1483,1,0.31,1.5,TRUE,130450,40000,90450,27529
33,1962,1547,1,1,1.5,TRUE,96569,22000,74569,27562
34,1909,705,1,0.08,1,FALSE,38490,32000,6490,27601
35,1991,1254,1,1.1,2,FALSE,125929,40000,85929,27545
36,1949,720,1.5,0,1,FALSE,136695,0,136695,27605
37,1971,1168,1,0.2,1.5,FALSE,127708,50000,77708,27604
38,1982,1036,1,0.18,1.5,FALSE,90091,22000,68091,27606
39,1963,2340,1,0.56,2.5,TRUE,201386,41400,159986,27610
40,1982,1400,2,0.04,2.5,TRUE,111007,18000,93007,27615
41,1958,1056,1,0.2,1,FALSE,158149,80000,78149,27604
42,1986,1704,2,0.2,2.5,TRUE,142576,38000,104576,27616
43,1963,2280,1,0.36,3,TRUE,313633,175000,138633,27609
44,1995,1104,1,0.51,2,TRUE,126439,32000,94439,27545
45,1980,1556,1,1.17,2,TRUE,215196,68000,147196,27539
46,1989,1664,2,0.21,2.5,TRUE,198737,64000,134737,27613
47,1985,2532,2,1.53,2.5,TRUE,341050,148000,193050,27613
48,1965,816,1,0.39,1,FALSE,32184,10000,22184,27529
49,1976,1285,1,0.2,1.5,TRUE,122742,38000,84742,27604
50,1972,1140,2,0,1,FALSE,61829,0,61829,27606
51,1960,NA,1,0.4,2,NA,267028,175000,NA,NA
52,1985,1476,2,0.05,2.5,TRUE,160196,42000,118196,27511
53,1973,1219,1,0.21,1.5,FALSE,97958,34000,63958,27610
54,1984,2553,2,0.36,2,TRUE,317717,98000,219717,27511
55,1949,1272,1,0.33,1,FALSE,128121,50000,78121,27560
56,1987,1080,1,0.3,2,TRUE,159332,64000,95332,27511
57,1967,2112,1,0.33,2.5,TRUE,195396,66000,129396,27511
58,1987,968,1,0,1.5,TRUE,89871,0,89871,27612
59,1964,1008,1,0.33,1,FALSE,90040,28000,62040,27610
60,1986,1771,1.75,0.26,2.5,TRUE,233238,86000,147238,27615
61,1984,1316,2,0.14,2.5,TRUE,177132,64000,113132,27613
62,1994,2847,1.5,0.36,2,TRUE,432023,138000,294023,27615
63,1998,1782,1,0.71,2,TRUE,132597,38000,94597,27603
64,1972,1795,1.75,0.3,2,FALSE,154726,42000,112726,27529
65,1947,900,1,0.25,1,FALSE,97300,55000,42300,27607
66,1952,2044,1,0.42,1.5,TRUE,523366,344540,178826,27608
67,1992,2145,2,1.11,2.5,TRUE,250180,70000,180180,27526
68,1969,1558,1,0.35,2,TRUE,150637,44000,106637,27529
69,1990,1890,2,0.18,2.5,TRUE,242102,76000,166012,27513
70,1990,2912,2,0.36,2,TRUE,379166,96000,283166,27613
71,1989,2895,1.75,0.98,2,TRUE,424333,130000,294333,27606
72,1975,1336,1,0.37,2,TRUE,163800,44000,119800,27529
73,1984,784,1,0.59,2,FALSE,42193,26000,16193,27610
74,1981,1984,2,0.86,2.5,TRUE,324032,148000,176032,27612
75,1986,1194,1,0.46,2,TRUE,115865,34000,81865,27545
76,1983,1146,1,0.28,2,TRUE,147948,58000,89948,27511
77,1976,1140,1,0.04,2,TRUE,153148,66000,87148,27607
78,1986,1312,2,0.03,2.5,FALSE,91833,15000,76883,27604
79,1976,1296,1,0.43,2,TRUE,122492,38000,84492,27529
80,1972,2194,NA,NA,2.5,FALSE,184484,NA,118484,NA
81,1985,1056,1,0.18,2,FALSE,100207,32000,68207,27529
82,1982,1740,1.5,0.26,2,TRUE,355716,191250,164466,27607
83,1986,2535,2,1.26,2.5,TRUE,431468,180000,251468,27614
84,1978,1589,1,1.43,2,TRUE,187539,55000,132539,27603
85,1960,1740,1,0.47,2,TRUE,92749,28000,64729,27529
86,1989,4650,1.5,0.49,3,TRUE,1113750,479520,634230,27608
87,1984,1550,2,0.04,2.5,TRUE,159795,38000,121795,27612
88,1978,1240,1,0.32,2,TRUE,156724,64000,92724,27511
89,1981,1764,1,0.66,2,TRUE,320419,148000,172419,27612
90,1972,2921,1,0.63,3,TRUE,230304,80000,150304,27511
91,1984,1130,1,0.24,2,TRUE,140368,52000,88368,27502
92,1972,2346,1,0.27,2.5,TRUE,219985,80000,139985,27511
93,1967,1420,1,0.26,2,TRUE,116464,30000,86464,27610
94,1996,2016,1,0.33,2,FALSE,198937,62000,136937,27606
95,1960,1792,1,0.5,2,TRUE,295116,146000,149116,27612
96,1995,2930,2,0.24,2.5,FALSE,349916,90000,259916,27518
97,1955,1068,1,0.3,1,FALSE,90503,32000,58503,27610
98,1955,1448,1,0.56,1,TRUE,201733,120000,81733,27609
99,1956,950,1,0.71,1,FALSE,106816,48000,58816,27610
100,1991,1370,1,0.19,2,TRUE,135402,36000,99402,27604
